[12-Jul-2024 12:08:57 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "ali" in C:\Users\21263\Local Sites\myweb\app\public\exper.php:3
Stack trace:
#0 {main}
  thrown in C:\Users\21263\Local Sites\myweb\app\public\exper.php on line 3
[12-Jul-2024 12:09:33 UTC] PHP Warning:  Undefined variable $ali in C:\Users\21263\Local Sites\myweb\app\public\exper.php on line 3
[12-Jul-2024 12:10:17 UTC] PHP Warning:  Undefined variable $ali in C:\Users\21263\Local Sites\myweb\app\public\exper.php on line 3
[12-Jul-2024 12:11:07 UTC] PHP Parse error:  syntax error, unexpected variable "$ali", expecting "," or ";" in C:\Users\21263\Local Sites\myweb\app\public\exper.php on line 2
[12-Jul-2024 12:13:44 UTC] PHP Parse error:  syntax error, unexpected variable "$ali", expecting "," or ";" in C:\Users\21263\Local Sites\myweb\app\public\exper.php on line 2
[12-Jul-2024 19:46:16 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:33:19 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:38:12 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:38:23 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:44:33 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:44:52 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:49:56 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:51:08 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:55:53 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 14:57:25 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 15:00:35 UTC] PHP Parse error:  syntax error, unexpected token "}", expecting "," or ";" in C:\Users\21263\Local Sites\myweb\app\public\wp-content\themes\MyNewTheme\index.php on line 4
[15-Jul-2024 15:00:56 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 15:02:05 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
[15-Jul-2024 15:06:46 UTC] PHP Warning:  Attempt to read property "title" on null in C:\Users\21263\Local Sites\myweb\app\public\wp-includes\class-wp-customize-widgets.php on line 905
